# KTU 1.1 II:1						
125949	ḫss	ḫss/	ḫss	DN/element sg. abs. nom.	Ḫasisu/Khasis	
125950	ṯny	ṯny[	/ṯ-n-y/	vb G suffc. 3 m. sg.	to repeat	
125951	l	l(I)	l (I)	prep.	to	
125952	hyn	hyn/	hyn	DN m. sg. abs. gen.	Hayyānu/alt. name of the god kṯr (Kothar)	ṯny l hyn 'repeat to Hayyānu' (DN/Kothar, not pron. 'she').
# KTU 1.1 III:5						
125953	d	d	d	det. or rel. functor	the one(s) of	
125954	ḥrš	ḥrš(I)/	ḥrš (I)	n. m. sg. cstr. nom.	craftsman	
125955	ydm	yd(I)/m	yd (I)	n. f. pl. cstr. gen.	hand	
125956	tḥm	tḥm/	tḥm	n. m. sg. cstr. gen.	message	
125957	ṯr	ṯr(I)/	ṯr (I)	n. m. sg. cstr. gen.	bull	
125958	il	il(I)/	ỉl (I)	DN m. sg. cstr. gen.	ʾIlu/Ilu/El	
125959	ab	ab/	ảb	n. m. sg. cstr. gen.	father	
# KTU 1.1 III:6						
125960	hwt	hw(t(I)/t	hwt (I)	n. f. sg. abs. gen.	word	
125961	lṯpn	l(ṭ&ṯpn/	lṭpn	adj. m. sg. abs. nom.	Benevolent	
125962	ḥtk	ḥtk(II)/	ḥtk (II)	n. m. sg. abs. nom.	lineage	
# KTU 1.1 III:7						
125963	yh	!y!(yh[	/y-h(-y)/	vb G prefc. 3 m. sg.	to wane	
125964	kṯr	kṯr(III)/	kṯr (III)	DN/element sg. cstr. nom.	Koṯaru/Kothar	
125965	bn	bn(I)/	bn (I)	n. m. sg. abs. gen.	son	
# KTU 1.1 III:8						
125966	št	št[	/š-t/	vb G suffc. 3 m. sg.	to place, set, set up, leave	
125967	l	l(I)	l (I)	prep.	to	
125968	skt	sk(II)/t	sk (II)	n. f. sg. abs. gen.	den	
125969	n	~n	-n (I)	encl. morph.	with c. n; in abs. state	
# KTU 1.1 III:9						
125970	ˤdb	ˤdb[	/ʕ-d-b/	vb G suffc. 3 m. sg.	to leave > to put in > to place	
125971	b	b	b	prep.	in	
125972	ġrt	ġr(t(I)/t	ġrt (I)	n. f. sg. cstr. gen.	rock	
125973	ṯbt	ṯb(t/t	ṯbt	n. f. sg. abs. gen.	2) sitting	
# KTU 1.1 III:10						
125974	ḥšqk	?	?	?	?	
125975	ˤṣk	ˤṣ/+k	ʕṣ	n. m. cstr. nom.	tree	
125976	ˤbṣk	ˤbṣ(I)/+k	ʕbṣ (I)	n. m. sg. cstr. nom.	mace	
125977	ˤmy	ˤm(I)+y	ʕm (I)	prep.	to	
125978	pˤnk	pˤn/+k	pʕn	n. f. cstr. nom.	foot	
125979	tlsmn	!t!lsm[n	/l-s-m/	vb G prefc.	to run	
# KTU 1.1 III:11						
125980	ˤmy	ˤm(I)+y	ʕm (I)	prep.	to	
125981	tkwtḥ	?	?	?	?	
125982	išdk	išd/+k	ỉšd	n. m. du. cstr. nom.	leg	
125983	tk	tk/	tk	n. m. abs. nom.	centre	
125984	ḫršn	ḫršn(I)/	ḫršn (I)	n. m. sg. abs. nom.	(divine) mountain	
# KTU 1.1 III:12						
125985	ġr	ġr(I)/	ġr (I)	n. m. sg. abs. nom.	mountain	
125986	ks	ks(I)/	ks (I)	n. m. sg. abs. nom.	cup	
125987	dm	dm(II)/	dm (II)	n. m. sg. abs. nom.	blood	
125988	rgm	rgm/	rgm	n. m. sg. abs. nom.	word	
125989	iṯ	iṯ(I)/	ỉṯ (I)	n. m. sg. abs. nom.	presence	
125990	ly	l(I)+y	l (I)	prep.	to	
125991	w	w	w	conj.	and	
125992	argmk	!(ʔ&a!rgm[+k	/r-g-m/	vb G prefc. 1 c. sg.	to say	
# KTU 1.1 III:13						
125993	hwt	hw(t(I)/t	hwt (I)	n. f. sg. abs. nom.	word	
125994	wṯaṯnyk	?	?	?	?	
125995	rgm	rgm/	rgm	n. m. sg. cstr. nom.	word	
125996	ˤṣ	ˤṣ/	ʕṣ	n. m. sg. abs. gen.	tree	
125997	w	w	w	conj.	and	
125998	lḫšt	lḫš(t/t	lḫšt	n. f. sg. cstr. nom.	chatter	
125999	abn	ab/+n	ảb	n. m. abs. gen.	father	
# KTU 1.1 III:14						
126000	tunt	?	?	?	?	
126001	šmm	šm(m(I)/m	šmm (I)	n. m. pl. abs. nom.	heavens	
126002	ˤm	ˤm(I)	ʕm (I)	prep.	to	
126003	arṣ	arṣ/	ảrṣ	n. f. sg. cstr. gen.	earth	
126004	thmt	thm(t/t	thmt	n. f. sg. abs. gen.	Primordial Ocean	
126005	ˤmn	ˤm(I)+n	ʕm (I)	prep.	to	
126006	kbkbm	kbkb/m	kbkb	n. m. pl. abs. gen.	heavenly body	
# KTU 1.1 III:15						
126007	rgm	rgm[	/r-g-m/	vb G suffc. 3 m. sg.	to say	
126008	l	l(I)	l (I)	prep.	to	
126009	tdˤ	!t!(ydˤ[:w	/y-d-ʕ/ (I)	vb G prefc. 3 m. pl.	to know	
